uid,firstname,lastname,registration_dates,registration_country_code,email_domain,userid,device_hash,card_hash,ip_hash,transaction_hash,application_hash,device_type,card_type,card_country_code,ip_country_code,transaction_amount,payment_channel,transaction_date,transaction_status
1717523261344011,alexander,domis,2021-04-30,826,yahoo.com,2021826261344011,674d5f96e62cf4553282666632d07744,6f14a0ad7189423b197f45aae5d7e3f2,3f2b06e63668f3df42e0175836bc952a,a8db1baac4841eff89e4f55d09de65aa,30f18378ce70cded7971f0644d843cb9,XZG-064,mastercard,300,276,6.16,adyen,2021-01-01,successful
1043011521441049,olof,fortun,2021-12-08,616,aol.com,2021616521441049,848320ce77aa8a7dad2fa5ea59e48dbe,2729862d7f775dbca86ac0bf0ff5c319,b8b6748a70526ed170d67191f79593d0,adb6d12a527c17a00b69d389f5d96e64,a994a0f11389f86ccb6ffd2b3b0cc14c,YXF-827,mastercard,826,499,26.09,paypal,2021-01-01,successful
732026672715547,third,pablo,2021-11-02,724,hotmail.com,2021724672715547,e4a4238aba11b5e2de8c830d1bc3d7c2,bf5239ec59c0942f12fb1a9da5a7ad72,8529979cbe7209cc9489f1f8c639060a,47840e522dc5275eba8218f065176482,aaa28258d7aead6824af2bd914089822,CAV-863,mastercard,276,276,2.08,paypal,2021-01-01,successful
5823690222251298,tahir,pertsinidis,2021-11-12,300,yahoo.fr,2021300222251298,d048cc0e0c881fee5861866166f0cf0b,4cf9c3cb90209017a229d97d5f7b2e1a,3aae59662b5202096de3456061b9adb2,a70828617b934bce6d6aa119790b1692,e4c407c5e390aa9daa619de82900a3a5,UCD-528,visa,642,276,11.49,docomo,2021-01-01,successful
3165770316700961,lynn,simmons,2021-11-10,380,yahoo.com,2021380316700961,d15db530f232b3ed0668bbbb3efaf76a,011628a670f07adc6f048c334961990c,710aa9627a9267b0fa8f7a575b60cac1,a70828617b934bce6d6aa119790b1692,b62d94d1075337ad7a89a1ea5e0ad753,LKW-062,mastercard,276,724,14.79,docomo,2021-01-01,successful
2205326780305266,malka,salluce,2021-04-08,724,optusnet.com.au,2021724780305266,6f2aa31b6a2d611500188dcf3ff0c5aa,81cd003212182c45f13a036f54da63ce,e1b695b23bd3c7be736938093ed844ca,e35d50d24891cea8f7749f1f15c96383,024fe0621b285f1247e6d39fef66f3bf,HWU-853,visa,804,442,9.78,paypal,2021-01-01,successful
7349665524136975,elhassan,lozano,2021-12-12,276,yahoo.es,2021276524136975,74241adf617be4c335a3c3fcdac8fe95,d52a4f67597d2b801f3cbdc61c9c3a2d,ddbf7f9263816ea7e3eb9ad78fa38549,3c50aa7a43d430d42062ef6e9451fbb6,ab50d61958439b194b1b7f75f10fc1d6,YOA-715,visa,276,620,1.2,worldpay,2021-01-01,successful
1826627432068949,signe,holtz,2021-08-09,804,bol.com.br,2021804432068949,6fd4c1c65471d6a31dfbaf6b02c29cd5,862a19a40773a0fdb96b19af9afe6ad3,fbf5f19f9bea2f4ccf75e53192abc93e,48a06c398cb5c81b8765094a14b78918,78b0a037ff4c8b81922dc9b805bfc1fa,XZG-064,mastercard,276,724,4.59,worldpay,2021-01-01,successful
266608829434636,raine,zamudio,2021-08-20,276,hotmail.com,2021276829434636,b3ceb2d184ef066db457a2ea56f2047e,be2e2a04d7b700a3e50f2c06fd2fea43,a58344a8a38ac2579e9874232cb9b88b,e6210cedb79328ab4000110bd44eefe4,b6e77628c68281d4b41d2a237d2ac766,JHV-519,visa,250,250,0.06,adyen,2021-01-01,successful
169313716018738,alvaro,davila,2021-12-15,276,yahoo.com,2021276716018738,767ebc82aeeb80970876672680d9deea,0c5a7c3fbd1612c442da0a599b3dae24,c10a159f9c19c561436b0376be2ed51f,9e18195f52ee541d989302425e733d1a,beeffaf8be018c4d229f62450d805ff3,TGA-235,visa,276,703,0.71,paypal,2021-01-01,successful
8824926129691400,colleen,goihman,2021-03-25,250,hotmail.com,2021250129691400,bbfe94b4aa74fee06d7ef0a4cdc2f934,f19275f7d066495c37bfc88c27ca5b6a,a8b3e76ccb5b4adea6714fe98d79bed4,9e18195f52ee541d989302425e733d1a,cbaed82ba005765a80c4e815856cb9e9,AHS-760,visa,616,250,0.1,paypal,2021-01-01,successful
4543371523933491,nourba,emma,2021-09-23,440,gmail.com,2021440523933491,1583f554d777d1406b20d0fbb4794603,d449def0146ac246e6b568ca8473c22e,1370f54fd13fb1094bef7b845c6bf2fc,4ff2015e0a79391e5b530192b7b17e15,f09a4aec64e6de60bf0066f039426074,HWU-853,mastercard,56,250,0.25,adyen,2021-01-01,successful
946797316221153,dimateo,parfitt,2021-06-27,620,yahoo.com,2021620316221153,fa9a845a0a9d6a04d27f03b03f80fc8e,f25a599624d3ad34b74c715563e48626,bb668cb5ecd8ad1e3eb71ac9e3a1e5ef,5d4a48dfc7d9f42c1807ecf07bc162fc,3d862c27a5596f0da7318b0f73dbad8a,TEY-412,visa,250,724,10.65,adyen,2021-01-01,successful
2243656903407313,ula,daniel,2021-06-24,380,free.fr,2021380903407313,f8a34d6a0c2eac0730dccd534f8ec528,030521be12258faf00cf65def40b94b3,1750cf5cf541e8be282d23d85ddf881c,2ce9de6ce048c6c63cca40a03425ad71,4b3d4029a2616770ea5b13965d639ef0,MJO-693,visa,380,276,0.66,adyen,2021-01-01,successful
4657563386407222,kirsten,kirk,2021-05-19,724,hotmail.com,2021724386407222,8a9ec3c60fd8bfd29a4b611feafbd45d,d31ebc7b2875ab1449038edb6fdd6ed5,f4584d2d8fe6d9d52a9440d3f1d06c30,adb6d12a527c17a00b69d389f5d96e64,e0027b5e6952dd249cd8d8f4b2fee396,IKW-493,visa,250,616,6.27,paypal,2021-01-01,successful
3579903815673399,fiona,mandzuka,2021-09-04,276,live.com,2021276815673399,9ed8da0ca99a4463db1745e5ee797a6e,9d89beaec9286f7598809546c8153fb9,ec47d4dce27de2f3621266f4a17c444b,86f7ceafba497264edbadf72c8eccb4e,87b08e86ee1057df166f315a15982cd7,LMG-801,visa,642,250,0.34,worldpay,2021-01-01,successful
7766485297212528,dana,miller,2021-07-12,826,yahoo.co.in,2021826297212528,51e20d5697229d720ad02695f2359964,5afb16bc94a0e7d4f556833e98b5c357,9aa4f7a65f3d2edcbba81678a72c2ea3,47b8ea2a244a9e5002a94311d1a5546f,7409047f6df6a424512bb86f4c8cd6d7,JED-259,mastercard,826,276,4.56,paypal,2021-01-01,successful
7637520366276346,helminger,alegria,2021-06-23,642,cox.net,2021642366276346,c041f7461f252f76e7e5cdb45b9cea4b,2af202c54a9a6215f68d5df402f654d3,7cc698552a675a4caf06a999ed4a3513,3c50aa7a43d430d42062ef6e9451fbb6,a1bd0952747878d7a7d9ec9da39bf885,UCD-528,visa,498,250,0.02,worldpay,2021-01-01,successful
2821631776124242,porfirio,myer,2021-01-30,804,gmail.com,2021804776124242,6ef0b865cddeb3c2d0368ab81accac6e,02440586f03841cb71ec73357afeef98,20192721bed66bc2ee8670e13af3c8a4,adb6d12a527c17a00b69d389f5d96e64,fcf8db3211772e425a9af8426511977f,SQH-738,visa,616,826,2.44,paypal,2021-01-01,successful
9802132369917114,souli,coopersmith,2021-11-04,276,yahoo.com,2021276369917114,15257fd3d29a5aa78373367aeaf896da,2b3b6602ac58c6222b738c625a87d527,0a41eb7cced2489e63eb5658ef66f81b,3c50aa7a43d430d42062ef6e9451fbb6,04204cfc40ce9370bf3a0eedff98e7fd,PFL-927,mastercard,528,642,5.39,worldpay,2021-01-01,successful
5497716242442126,por,graham,2021-08-13,826,hotmail.fr,2021826242442126,093425b96b06a418b9c6e5dc6867506f,6dd4a4455612c8ce5cf72a2d8d4cf2ff,21270847cfe053238b88560ccc9aca35,5d4a48dfc7d9f42c1807ecf07bc162fc,f09a4aec64e6de60bf0066f039426074,YOA-715,mastercard,752,112,0.25,adyen,2021-01-01,successful
5825830484623254,vivienne,borson,2021-01-17,276,hotmail.com,2021276484623254,58966e445ee2bc481b831bd66eb14c72,094e357d5ffed8e0c242911120d487c1,fccd67b1b7201a8f767fce8f4d1785c9,2544c8cc323b918e611b094f9d9992c8,78e2eccbb3d81122b9786dd26f984523,UCD-528,mastercard,250,688,4.02,paypal,2021-01-02,successful
7271438747961298,daliah,halenda,2021-06-28,616,yahoo.com,2021616747961298,e867f160c1cae5e3923873297a150aa6,45ef4314130feec94b4aa8a6a01b1a4c,75651c3c9199641781c1afcc8e7b1be3,d3fcc86f13ae07d5bb780ff8cdbf90b3,1467ed6faa4d40d94d914114287da17b,LKW-062,visa,56,56,0.26,paypal,2021-01-02,successful
2310323472601112,leif,fairbank,2021-11-08,826,hotmail.com,2021826472601112,57733c103517a8edfd3768ebad35259d,bc122cee4d57d67eac169bc6049f279c,445ca431b5c44a7f612b7c61bf584e9a,680da11efc431df4ef379742cad0a19e,2859c55cb8b54e96c4dbb6a43869b2de,GLI-136,mastercard,276,203,0.87,paypal,2021-01-02,successful
3490950185312656,rae,turner,2021-08-19,528,gmail.com,2021528185312656,d3c736f57bce65526b9994b81caea0db,b7d36ab541c44fc21f871a17222db56f,0bc85cb8d2f203321566fa92daa810ad,2a2cb797ac6f011faaf159e1ee880e2c,a7321f49a2915318005b42b0b284f754,YOA-715,mastercard,250,724,3.58,adyen,2021-01-02,successful
3187894537082141,isaac,lake,2021-10-24,250,gmail.com,2021250537082141,d0d92dfbba11f4de9d423b4fe0be5fe0,2729862d7f775dbca86ac0bf0ff5c319,5b4d833f28a6c65124c43cfbbd5bbb81,5c6c04edeb162f95fce1aa44eb5e8491,39d461837bcb47b0612c0fefe0601390,HWU-853,mastercard,826,56,12.25,paypal,2021-01-02,successful
1162146812480657,lilian,donna,2021-01-15,826,aol.com,2021826812480657,7a22e7c0fb18c10ae9d1f70666784f8e,5af9eb6e71f27fc6975c0731a6a65375,c255f37ba695d83efcb283a626ec1532,2544c8cc323b918e611b094f9d9992c8,90815b97585bf3cd9a2c6c0e60bcbee2,BTM-467,visa,112,616,1.05,paypal,2021-01-02,successful
3094700354646214,dorothea,cavegn,2021-12-15,642,yahoo.com,2021642354646214,e9352b239db8bf1ccb7cb61202226238,ff5e661b819815054bffadefd9fd1b91,4efebf40fedf8e4b7412ce14a9591ffc,63a839922b92784ef08bf6a767d6d73f,3e9b7235ac3dd08d354bee12f718ddc8,CAV-863,mastercard,250,380,6.99,adyen,2021-01-02,successful
5047172949914220,colette,hetz,2021-06-14,40,hotmail.com,202140949914220,2afa23254c9751d9384f468f25d2ab48,a04440f79abdf1eb9792a89cb8444482,7b4a2c04895dd140481069cd2b7b0c0e,40e69f3895237925467ce265fe1f1393,6d52f98384cc4ecea761ceff3520f7f8,MJO-693,visa,250,642,2.66,docomo,2021-01-02,successful
6597631605700939,dreghorn,innaccone,2021-05-14,826,yahoo.com,2021826605700939,c45a3acba67343c91a9b144d26ad0482,5974c53e2818ba66464edf17a8fc4960,e8b73c3ec2958142cb2d9080c644772c,5ccd3820baa9943e5830a318ac253e5c,14549e318030a737ecf3f0149eabb00f,NDL-805,visa,752,380,11.71,paypal,2021-01-02,successful
2448460687254991,carlo,rosenberg,2021-07-25,826,gmail.com,2021826687254991,551e0885cf9c19c643e9cde1b79b2788,e3f58d2eb8eb123e81d5f83b6d334677,70d38d834f0df47895f1ba075b56a9f3,327b93863312332f4f688c1d12ad1fdd,a4ce8c01376f608696d219f2313a6003,KFT-864,mastercard,250,724,0.12,paypal,2021-01-02,successful
6331259469500018,itzel,carol,2021-12-16,380,aol.com,2021380469500018,4540ee464c098c872447f4da473ea946,9cbb2cccc4f4b3530a246bdc751413ae,9398fa8892c04ac1c972193e91a5f543,fd2ba4fa1fc8a5248d99a72468db8041,f3102aa52f409db8ae7a9d6739375f92,YOA-715,visa,380,276,0.77,paypal,2021-01-02,successful
8227018717188187,kirk,abbruscato,2021-09-14,804,wanadoo.fr,2021804717188187,ad68cc8dfe24772af7a583cc89fb72b2,b032c2b1afd39a22a11d4efad50150ff,1ca01d4cc80bc8fcbeed26127652d87f,5c6c04edeb162f95fce1aa44eb5e8491,ebe50c2d91fc7fc54d16e43414319fdd,IKW-493,mastercard,208,804,0.6,paypal,2021-01-02,successful
2072679365193529,iromi,carnegie,2021-04-15,380,hotmail.com,2021380365193529,ba43b96988f552a7697da1fe52867cc1,d687d952793112a1b2c9e2a1412a81de,266626e72710a0e7f861095760c0ec27,fc26af298cd60bc16334e9f9b0c9019c,60b62e66f5389a02447f9380a0396dc8,XDV-275,mastercard,276,276,0.73,worldpay,2021-01-02,successful
4300201816447994,dini,adellano,2021-04-06,616,yahoo.com,2021616816447994,6ed0ab82a6d222e374f5fcbaf71d49b0,de5f3017b5964501e9767df91a407f97,3dc954e214cd4a3bfe349c407fb66db8,f1a9f4a87148a606b51449ea6ab5e22a,35528c9c1cbcd62e91da853dbb44c416,LKW-062,mastercard,804,804,0.0,adyen,2021-01-02,successful
